attributed_resource,description,list_attributes,list_metrics,list_segments,resource_name,segmenting_resource,with_metrics
"ad_group,ad_group_ad,campaign,customer","<p>A view on the usage of ad group ad asset combination. Now we only support AdGroupAdAssetCombinationView for Responsive Search Ads, with more ad types planned for the future.</p>","enabled,resource_name,served_assets",impressions,"ad_network_type,date,day_of_week,month,quarter,slot,week,year",Ad Group Ad Asset Combination View,None,1
"ad_group,ad_group_ad,asset,campaign,customer",<p>A link between an AdGroupAd and an Asset. Currently we only support AdGroupAdAssetView for AppAds and Responsive Search Ads.</p>,"ad_group_ad,asset,enabled,field_type,performance_label,pinned_field,policy_summary,resource_name,source","all_conversions,all_conversions_value,all_conversions_value_per_cost,average_cpc,biddable_app_install_conversions,biddable_app_post_install_conversions,clicks,conversions,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,ctr,impressions,value_per_all_conversions,value_per_conversion,view_through_conversions","ad_network_type,conversion_action,date,day_of_week,month,quarter,slot,week,year",Ad Group Ad Asset View,None,1
None,<p>A Customer search term view. Historical data is available starting March 2023.</p>,"category_label,id,resource_name","clicks,conversions,conversions_from_interactions_rate,conversions_value,ctr,impressions,search_volume","campaign,date,search_subcategory,search_term",Customer Search Term Insight,None,1
"ad_group,ad_group_criterion,campaign,customer",<p>A webpage view.</p>,resource_name,"absolute_top_impression_percentage,active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cost_per_current_model_attributed_conversion,cross_device_conversions,ctr,current_model_attributed_conversions,current_model_attributed_conversions_value,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,top_impression_percentage,value_per_all_conversions,value_per_conversion,value_per_current_model_attributed_conversion,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,conversion_lag_bucket,conversion_or_adjustment_lag_bucket,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Webpage View,None,1
"ad_group,campaign,customer",<p>An ad group ad.</p>,"action_items,ad.added_by_google_ads,ad.app_ad.descriptions,ad.app_ad.headlines,ad.app_ad.html5_media_bundles,ad.app_ad.html5_media_bundles.asset,ad.app_ad.images,ad.app_ad.images.asset,ad.app_ad.mandatory_ad_text,ad.app_ad.youtube_videos,ad.app_ad.youtube_videos.asset,ad.app_engagement_ad.descriptions,ad.app_engagement_ad.headlines,ad.app_engagement_ad.images,ad.app_engagement_ad.images.asset,ad.app_engagement_ad.videos,ad.app_engagement_ad.videos.asset,ad.app_pre_registration_ad.descriptions,ad.app_pre_registration_ad.headlines,ad.app_pre_registration_ad.images,ad.app_pre_registration_ad.images.asset,ad.app_pre_registration_ad.youtube_videos,ad.app_pre_registration_ad.youtube_videos.asset,ad.call_ad.business_name,ad.call_ad.call_tracked,ad.call_ad.conversion_action,ad.call_ad.conversion_reporting_state,ad.call_ad.country_code,ad.call_ad.description1,ad.call_ad.description2,ad.call_ad.disable_call_conversion,ad.call_ad.headline1,ad.call_ad.headline2,ad.call_ad.path1,ad.call_ad.path2,ad.call_ad.phone_number,ad.call_ad.phone_number_verification_url,ad.device_preference,ad.discovery_carousel_ad.business_name,ad.discovery_carousel_ad.call_to_action_text,ad.discovery_carousel_ad.carousel_cards,ad.discovery_carousel_ad.carousel_cards.asset,ad.discovery_carousel_ad.description,ad.discovery_carousel_ad.headline,ad.discovery_carousel_ad.logo_image,ad.discovery_carousel_ad.logo_image.asset,ad.discovery_multi_asset_ad.business_name,ad.discovery_multi_asset_ad.call_to_action_text,ad.discovery_multi_asset_ad.descriptions,ad.discovery_multi_asset_ad.headlines,ad.discovery_multi_asset_ad.lead_form_only,ad.discovery_multi_asset_ad.logo_images,ad.discovery_multi_asset_ad.logo_images.asset,ad.discovery_multi_asset_ad.marketing_images,ad.discovery_multi_asset_ad.marketing_images.asset,ad.discovery_multi_asset_ad.portrait_marketing_images,ad.discovery_multi_asset_ad.portrait_marketing_images.asset,ad.discovery_multi_asset_ad.square_marketing_images,ad.discovery_multi_asset_ad.square_marketing_images.asset,ad.discovery_video_responsive_ad.breadcrumb1,ad.discovery_video_responsive_ad.breadcrumb2,ad.discovery_video_responsive_ad.business_name,ad.discovery_video_responsive_ad.call_to_actions,ad.discovery_video_responsive_ad.call_to_actions.asset,ad.discovery_video_responsive_ad.descriptions,ad.discovery_video_responsive_ad.headlines,ad.discovery_video_responsive_ad.logo_images,ad.discovery_video_responsive_ad.logo_images.asset,ad.discovery_video_responsive_ad.long_headlines,ad.discovery_video_responsive_ad.videos,ad.discovery_video_responsive_ad.videos.asset,ad.display_upload_ad.display_upload_product_type,ad.display_upload_ad.media_bundle,ad.display_upload_ad.media_bundle.asset,ad.display_url,ad.expanded_dynamic_search_ad.description,ad.expanded_dynamic_search_ad.description2,ad.expanded_text_ad.description,ad.expanded_text_ad.description2,ad.expanded_text_ad.headline_part1,ad.expanded_text_ad.headline_part2,ad.expanded_text_ad.headline_part3,ad.expanded_text_ad.path1,ad.expanded_text_ad.path2,ad.final_app_urls,ad.final_mobile_urls,ad.final_url_suffix,ad.final_urls,ad.hotel_ad,ad.id,ad.image_ad.image_asset.asset,ad.image_ad.image_url,ad.image_ad.mime_type,ad.image_ad.name,ad.image_ad.pixel_height,ad.image_ad.pixel_width,ad.image_ad.preview_image_url,ad.image_ad.preview_pixel_height,ad.image_ad.preview_pixel_width,ad.legacy_app_install_ad,ad.legacy_responsive_display_ad.accent_color,ad.legacy_responsive_display_ad.allow_flexible_color,ad.legacy_responsive_display_ad.business_name,ad.legacy_responsive_display_ad.call_to_action_text,ad.legacy_responsive_display_ad.description,ad.legacy_responsive_display_ad.format_setting,ad.legacy_responsive_display_ad.logo_image,ad.legacy_responsive_display_ad.long_headline,ad.legacy_responsive_display_ad.main_color,ad.legacy_responsive_display_ad.marketing_image,ad.legacy_responsive_display_ad.price_prefix,ad.legacy_responsive_display_ad.promo_text,ad.legacy_responsive_display_ad.short_headline,ad.legacy_responsive_display_ad.square_logo_image,ad.legacy_responsive_display_ad.square_marketing_image,ad.local_ad.call_to_actions,ad.local_ad.descriptions,ad.local_ad.headlines,ad.local_ad.logo_images,ad.local_ad.logo_images.asset,ad.local_ad.marketing_images,ad.local_ad.marketing_images.asset,ad.local_ad.path1,ad.local_ad.path2,ad.local_ad.videos,ad.local_ad.videos.asset,ad.name,ad.resource_name,ad.responsive_display_ad.accent_color,ad.responsive_display_ad.allow_flexible_color,ad.responsive_display_ad.business_name,ad.responsive_display_ad.call_to_action_text,ad.responsive_display_ad.control_spec.enable_asset_enhancements,ad.responsive_display_ad.control_spec.enable_autogen_video,ad.responsive_display_ad.descriptions,ad.responsive_display_ad.format_setting,ad.responsive_display_ad.headlines,ad.responsive_display_ad.logo_images,ad.responsive_display_ad.logo_images.asset,ad.responsive_display_ad.long_headline,ad.responsive_display_ad.main_color,ad.responsive_display_ad.marketing_images,ad.responsive_display_ad.marketing_images.asset,ad.responsive_display_ad.price_prefix,ad.responsive_display_ad.promo_text,ad.responsive_display_ad.square_logo_images,ad.responsive_display_ad.square_logo_images.asset,ad.responsive_display_ad.square_marketing_images,ad.responsive_display_ad.square_marketing_images.asset,ad.responsive_display_ad.youtube_videos,ad.responsive_display_ad.youtube_videos.asset,ad.responsive_search_ad.descriptions,ad.responsive_search_ad.headlines,ad.responsive_search_ad.path1,ad.responsive_search_ad.path2,ad.shopping_comparison_listing_ad.headline,ad.shopping_product_ad,ad.shopping_smart_ad,ad.smart_campaign_ad.descriptions,ad.smart_campaign_ad.headlines,ad.system_managed_resource_source,ad.text_ad.description1,ad.text_ad.description2,ad.text_ad.headline,ad.tracking_url_template,ad.travel_ad,ad.type,ad.url_collections,ad.url_custom_parameters,ad.video_ad.bumper.action_button_label,ad.video_ad.bumper.action_headline,ad.video_ad.bumper.companion_banner.asset,ad.video_ad.in_feed.description1,ad.video_ad.in_feed.description2,ad.video_ad.in_feed.headline,ad.video_ad.in_feed.thumbnail,ad.video_ad.in_stream.action_button_label,ad.video_ad.in_stream.action_headline,ad.video_ad.in_stream.companion_banner.asset,ad.video_ad.non_skippable.action_button_label,ad.video_ad.non_skippable.action_headline,ad.video_ad.non_skippable.companion_banner.asset,ad.video_ad.out_stream.description,ad.video_ad.out_stream.headline,ad.video_ad.video.asset,ad.video_responsive_ad.breadcrumb1,ad.video_responsive_ad.breadcrumb2,ad.video_responsive_ad.call_to_actions,ad.video_responsive_ad.companion_banners,ad.video_responsive_ad.companion_banners.asset,ad.video_responsive_ad.descriptions,ad.video_responsive_ad.headlines,ad.video_responsive_ad.long_headlines,ad.video_responsive_ad.videos,ad.video_responsive_ad.videos.asset,ad_group,ad_strength,labels,policy_summary.approval_status,policy_summary.policy_topic_entries,policy_summary.review_status,resource_name,status","absolute_top_impression_percentage,active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_by_conversion_date,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_by_conversion_date,all_conversions_value_per_cost,all_new_customer_lifetime_value,average_cart_size,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,average_order_value_micros,average_page_views,average_time_on_site,bounce_rate,clicks,conversions,conversions_by_conversion_date,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_by_conversion_date,conversions_value_per_cost,cost_micros,cost_of_goods_sold_micros,cost_per_all_conversions,cost_per_conversion,cost_per_current_model_attributed_conversion,cross_device_conversions,cross_sell_cost_of_goods_sold_micros,cross_sell_gross_profit_micros,cross_sell_revenue_micros,cross_sell_units_sold,ctr,current_model_attributed_conversions,current_model_attributed_conversions_from_interactions_rate,current_model_attributed_conversions_from_interactions_value_per_interaction,current_model_attributed_conversions_value,current_model_attributed_conversions_value_per_cost,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,gross_profit_margin,gross_profit_micros,impressions,interaction_event_types,interaction_rate,interactions,lead_cost_of_goods_sold_micros,lead_gross_profit_micros,lead_revenue_micros,lead_units_sold,new_customer_lifetime_value,orders,percent_new_visitors,phone_calls,phone_impressions,phone_through_rate,revenue_micros,top_impression_percentage,units_sold,value_per_all_conversions,value_per_all_conversions_by_conversion_date,value_per_conversion,value_per_conversions_by_conversion_date,value_per_current_model_attributed_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_destination_type,ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,conversion_adjustment,conversion_attribution_event_type,conversion_lag_bucket,conversion_or_adjustment_lag_bucket,date,day_of_week,device,external_conversion_source,interaction_on_this_extension,keyword.ad_group_criterion,keyword.info.match_type,keyword.info.text,month,month_of_year,new_versus_returning_customers,placeholder_type,quarter,search_term_match_type,slot,week,year",Ad Group Ad,None,1
"asset,customer",<p>A link between an ad group and an asset.</p>,"ad_group,asset,field_type,primary_status,primary_status_details,primary_status_reasons,resource_name,source,status","absolute_top_impression_percentage,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,phone_calls,phone_impressions,phone_through_rate,top_impression_percentage,value_per_all_conversions,value_per_conversion,video_view_rate,video_views","ad_network_type,asset_interaction_target.asset,asset_interaction_target.interaction_on_this_asset,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,slot,week,year",Ad Group Asset,"ad_group,campaign",1
"ad_group,campaign,customer",<p>A view with metrics aggregated by ad group and URL or YouTube video.</p>,"display_name,group_placement_target_url,placement,placement_type,resource_name,target_url","active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Detail Placement View,None,1
None,<p>A travel activity performance view.</p>,resource_name,"all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cpc,average_cpm,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,impressions,search_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,search_budget_lost_impression_share,search_budget_lost_top_impression_share,search_impression_share,search_rank_lost_absolute_top_impression_share,search_rank_lost_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,value_per_all_conversions,value_per_conversion","activity_account_id,activity_rating,ad_network_type,date,day_of_week,device,external_activity_id,hour,month,quarter,week,year",Travel Activity Performance View,"ad_group,campaign",1
customer,"<p>A user location view. User Location View includes all metrics aggregated at the country level, one row per country. It reports metrics at the actual physical location of the user by targeted or not targeted location. If other segment fields are used, you may get more than one row per country.</p>","country_criterion_id,resource_name,targeting_location","all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_view_rate,video_views,view_through_conversions","ad_network_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,geo_target_airport,geo_target_canton,geo_target_city,geo_target_county,geo_target_district,geo_target_metro,geo_target_most_specific_location,geo_target_postal_code,geo_target_province,geo_target_region,geo_target_state,month,month_of_year,quarter,week,year",User Location View,"ad_group,campaign",1
"campaign,customer",<p>A Smart campaign search term view.</p>,"campaign,resource_name,search_term","clicks,cost_micros,impressions","date,day_of_week,month,month_of_year,quarter,week,year",Smart Campaign Search Term View,None,1
customer,<p>A video.</p>,"channel_id,duration_millis,id,resource_name,title","all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Video,"ad_group,ad_group_ad,campaign",1
"ad_group,ad_group_criterion,campaign,customer",<p>A product group view.</p>,resource_name,"all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cart_size,average_cpc,average_cpm,average_order_value_micros,benchmark_average_max_cpc,benchmark_ctr,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_of_goods_sold_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,cross_sell_cost_of_goods_sold_micros,cross_sell_gross_profit_micros,cross_sell_revenue_micros,cross_sell_units_sold,ctr,gross_profit_margin,gross_profit_micros,impressions,lead_cost_of_goods_sold_micros,lead_gross_profit_micros,lead_revenue_micros,lead_units_sold,orders,revenue_micros,search_absolute_top_impression_share,search_click_share,search_impression_share,units_sold,value_per_all_conversions,value_per_conversion,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Product Group View,None,1
"ad_group,ad_group_criterion,campaign,customer",<p>A travel activity group view.</p>,resource_name,"all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cpc,average_cpm,clicks,conversions,conversions_from_interactions_rate,conversions_from_interactions_value_per_interaction,conversions_value,conversions_value_per_cost,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,impressions,search_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,search_budget_lost_impression_share,search_budget_lost_top_impression_share,search_impression_share,search_rank_lost_absolute_top_impression_share,search_rank_lost_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,value_per_all_conversions,value_per_conversion","date,day_of_week,hour,month,quarter,week,year",Travel Activity Group View,None,1
customer,"<p>Shopping performance view. Provides Shopping campaign statistics aggregated at several product dimension levels. Product dimension values from Merchant Center such as brand, category, custom attributes, product condition and product type will reflect the state of each dimension as of the date and time when the corresponding event was recorded.</p>",resource_name,"all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cart_size,average_cpc,average_order_value_micros,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_of_goods_sold_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,cross_sell_cost_of_goods_sold_micros,cross_sell_gross_profit_micros,cross_sell_revenue_micros,cross_sell_units_sold,ctr,gross_profit_margin,gross_profit_micros,impressions,lead_cost_of_goods_sold_micros,lead_gross_profit_micros,lead_revenue_micros,lead_units_sold,orders,revenue_micros,search_absolute_top_impression_share,search_click_share,search_impression_share,units_sold,value_per_all_conversions,value_per_conversion","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,product_aggregator_id,product_brand,product_category_level1,product_category_level2,product_category_level3,product_category_level4,product_category_level5,product_channel,product_channel_exclusivity,product_condition,product_country,product_custom_attribute0,product_custom_attribute1,product_custom_attribute2,product_custom_attribute3,product_custom_attribute4,product_feed_label,product_item_id,product_language,product_merchant_id,product_store_id,product_title,product_type_l1,product_type_l2,product_type_l3,product_type_l4,product_type_l5,quarter,week,year",Shopping Performance View,"ad_group,campaign",1
customer,<p>A per store view. This view provides per store impression reach and local action conversion stats for advertisers.</p>,"place_id,resource_name","all_conversions_from_location_asset_click_to_call,all_conversions_from_location_asset_directions,all_conversions_from_location_asset_menu,all_conversions_from_location_asset_order,all_conversions_from_location_asset_other_engagement,all_conversions_from_location_asset_store_visits,all_conversions_from_location_asset_website,eligible_impressions_from_location_asset_store_reach,view_through_conversions_from_location_asset_click_to_call,view_through_conversions_from_location_asset_directions,view_through_conversions_from_location_asset_menu,view_through_conversions_from_location_asset_order,view_through_conversions_from_location_asset_other_engagement,view_through_conversions_from_location_asset_store_visits,view_through_conversions_from_location_asset_website","ad_network_type,day_of_week,month,month_of_year,quarter,week,year",Per Store View,campaign,1
"ad_group,ad_group_criterion,campaign,customer",<p>A topic view.</p>,resource_name,"active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Topic View,bidding_strategy,1
"ad_group,campaign,customer",<p>A paid organic search term view providing a view of search stats across ads and organic listings aggregated by search term at the ad group level.</p>,"resource_name,search_term","average_cpc,clicks,combined_clicks,combined_clicks_per_query,combined_queries,ctr,impressions,organic_clicks,organic_clicks_per_query,organic_impressions,organic_impressions_per_query,organic_queries","date,day_of_week,device,keyword.ad_group_criterion,keyword.info.match_type,keyword.info.text,month,month_of_year,quarter,search_engine_results_page_type,week,year",Paid Organic Search Term View,None,1
"accessible_bidding_strategy,ad_group,ad_group_criterion,bidding_strategy,campaign,customer",<p>A parental status view.</p>,resource_name,"active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Parental Status View,None,1
"ad_group,ad_group_criterion,campaign,customer",<p>A managed placement view.</p>,resource_name,"active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Managed Placement View,bidding_strategy,1
"campaign,campaign_criterion,customer",<p>A location view summarizes the performance of campaigns by Location criteria.</p>,resource_name,"all_conversions,all_conversions_from_interactions_rate,all_conversions_value,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_view_rate,video_views,view_through_conversions","conversion_action,conversion_action_category,conversion_action_name,date,external_conversion_source,month,month_of_year,new_versus_returning_customers,quarter,week,year",Location View,None,1
"accessible_bidding_strategy,ad_group,ad_group_criterion,bidding_strategy,campaign,customer",<p>A keyword view.</p>,resource_name,"absolute_top_impression_percentage,active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_by_conversion_date,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_by_conversion_date,all_conversions_value_per_cost,auction_insight_search_absolute_top_impression_percentage,auction_insight_search_impression_share,auction_insight_search_outranking_share,auction_insight_search_overlap_rate,auction_insight_search_position_above_rate,auction_insight_search_top_impression_percentage,average_cart_size,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,average_order_value_micros,average_page_views,average_time_on_site,bounce_rate,clicks,conversions,conversions_by_conversion_date,conversions_from_interactions_rate,conversions_value,conversions_value_by_conversion_date,conversions_value_per_cost,cost_micros,cost_of_goods_sold_micros,cost_per_all_conversions,cost_per_conversion,cost_per_current_model_attributed_conversion,cross_device_conversions,cross_sell_cost_of_goods_sold_micros,cross_sell_gross_profit_micros,cross_sell_revenue_micros,cross_sell_units_sold,ctr,current_model_attributed_conversions,current_model_attributed_conversions_from_interactions_rate,current_model_attributed_conversions_from_interactions_value_per_interaction,current_model_attributed_conversions_value,current_model_attributed_conversions_value_per_cost,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,gross_profit_margin,gross_profit_micros,historical_creative_quality_score,historical_landing_page_quality_score,historical_quality_score,historical_search_predicted_ctr,impressions,interaction_event_types,interaction_rate,interactions,lead_cost_of_goods_sold_micros,lead_gross_profit_micros,lead_revenue_micros,lead_units_sold,orders,percent_new_visitors,revenue_micros,search_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,search_budget_lost_impression_share,search_budget_lost_top_impression_share,search_click_share,search_exact_match_impression_share,search_impression_share,search_rank_lost_absolute_top_impression_share,search_rank_lost_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,top_impression_percentage,units_sold,value_per_all_conversions,value_per_all_conversions_by_conversion_date,value_per_conversion,value_per_conversions_by_conversion_date,value_per_current_model_attributed_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,auction_insight_domain,click_type,conversion_action,conversion_action_category,conversion_action_name,conversion_adjustment,conversion_attribution_event_type,conversion_lag_bucket,conversion_or_adjustment_lag_bucket,date,day_of_week,device,external_conversion_source,month,month_of_year,new_versus_returning_customers,quarter,slot,week,year",Keyword View,None,1
"ad_group,ad_group_criterion,campaign,customer",<p>An income range view.</p>,resource_name,"active_view_cpm,active_view_ctr,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,all_conversions,all_conversions_from_interactions_rate,all_conversions_from_interactions_value_per_interaction,all_conversions_value,all_conversions_value_per_cost,average_cost,average_cpc,average_cpe,average_cpm,average_cpv,clicks,conversions,conversions_from_interactions_rate,conversions_value,cost_micros,cost_per_all_conversions,cost_per_conversion,cross_device_conversions,ctr,engagement_rate,engagements,gmail_forwards,gmail_saves,gmail_secondary_clicks,impressions,interaction_event_types,interaction_rate,interactions,value_per_all_conversions,value_per_conversion,video_quartile_p100_rate,video_quartile_p25_rate,video_quartile_p50_rate,video_quartile_p75_rate,video_view_rate,video_views,view_through_conversions","ad_network_type,click_type,conversion_action,conversion_action_category,conversion_action_name,date,day_of_week,device,external_conversion_source,month,month_of_year,quarter,week,year",Income Range View,None,1
"campaign,customer",<p>A hotel reconciliation. It contains conversion information from Hotel bookings to reconcile with advertiser records. These rows may be updated or canceled before billing through Bulk Uploads.</p>,"billed,campaign,check_in_date,check_out_date,commission_id,hotel_center_id,hotel_id,order_id,reconciled_value_micros,resource_name,status","hotel_commission_rate_micros,hotel_expected_commission_cost,value_per_conversions_by_conversion_date",date,Hotel Reconciliation,None,1
